Name;PriorityCh1;PriorityCh2;TXDesignatedCh;SignHoldTime;PrioSamplTime;ChannelMember01;ChannelMember02;ChannelMember03;ChannelMember04;ChannelMember05;ChannelMember06;ChannelMember07;ChannelMember08;ChannelMember09;ChannelMember10;ChannelMember11;ChannelMember12;ChannelMember13;ChannelMember14;ChannelMember15;ChannelMember16;ChannelMember17;ChannelMember18;ChannelMember19;ChannelMember20;ChannelMember21;ChannelMember22;ChannelMember23;ChannelMember24;ChannelMember25;ChannelMember26;ChannelMember27;ChannelMember28;ChannelMember29;ChannelMember30;ChannelMember31
PI1AMF;BRD1 204;BRD2 Lokaal;none;20;8;AMF MA 1 1;AMF MA 1 2;AMF MA 1 9;AMF MA 1 13;AMF MA 1 20;AMF MA 1 22;AMF MA 1 204;AMF MA 2 8;AMF MA 2 9;AMF MA 2 204;AMF MA 2 20421;;;;;;;;;;;;;;;;;;;;
PI1NOG;BRD1 204;BRD2 Lokaal;none;20;16;NOG MA 1 1;NOG MA 1 2;NOG MA 1 9;NOG MA 1 13;NOG MA 1 20;NOG MA 1 22;NOG MA 1 204;NOG MA 2 8;NOG MA 2 9;NOG MA 2 204;;;;;;;;;;;;;;;;;;;;;
PI1DHG;BRD1 204;BRD2 Lokaal;none;20;8;DHG MA 1 1;DHG MA 1 2;DHG MA 1 9;DHG MA 1 13;DHG MA 1 20;DHG MA 1 22;DHG MA 1 204;DHG MA 2 8;DHG MA 2 9;DHG MA 2 204;;;;;;;;;;;;;;;;;;;;;
PI1ZWL;BRD1 204;BRD2 Lokaal;none;20;8;ZWL MA 1 1;ZWL MA 1 2;ZWL MA 1 9;ZWL MA 1 13;ZWL MA 1 20 ;ZWL MA 1 22;ZWL MA 1 204;ZWL MA 2 8;ZWL MA 2 9;ZWL MA 2 204;;;;;;;;;;;;;;;;;;;;;
UHF-NL-NOORD;BRD1 204;BRD2 Lokaal;none;20;8;NOG-430.3250;GRO-430.2375;WSN-430.1500;HVN-430.0250;ASN-430.0500;MEP-430.0750;NON-COVERSITY;NOS-430.1250;;;;;;;;;;;;;;;;;;;;;;;
UHF-NL-OOST;BRD1 204;BRD2 Lokaal;none;20;8;DEV-430.3625;KMP-430.1750;NOV-430.2625;APD-430.1500;ANH-430.0500;TWE-430.2250;JUT-430.0625;NMG-430.3125;YSS-430.0125;AMF-430.2500;ZST-430.0750;NOS-430.1250;NON-COVERSITY;;;;;;;;;;;;;;;;;;
UHF-NL-ZUID;BRD1 204;BRD2 Lokaal;none;20;8;BRD-430.3250;SHB-430.2375;EHV-430.1000;NEN-430.0625;BOZ-430.0250;NLB-430.2000;GAY-430.0750;RMD-430.3625;VNR-430.3500;VLI-430.3375;ZLD-430.075;NOS-430.1250;;;;;;;;;;;;;;;;;;;
UHF-NL-WEST;BRD1 204;BRD2 Lokaal;none;20;8;ALK-430.3750;ASD-430.2000;ASD-438.5000;ZAZ-430.03750;RDH-430.2625;HLM-430.2500;FLD-430.2875;DFT-430.0875;HGL-430.3500;DEC-430.3625;GOR-430.0125;SWK-430.2250;RTD-430.3000;RAZ-430.1500;NOS-430.1250;;;;;;;;;;;;;;;;
SIMPLEX;BRD1 204;BRD2 Lokaal;none;20;8;SIMP-1D;SIMP-2D-OPR;SIMP-3D;SIMP-4D;SIMP-5D;SIMP-6D;SIMP-7D;SIMP-8D-EXP;SIMP-9A;SIMP-10A-OPR;SIMP-11A;SIMP-12A;SIMP-13A;SIMP-14A;SIMP-15A;;;;;;;;;;;;;;;;
PMR;BRD1 204;BRD2 Lokaal;none;20;8;PMR-1;PMR-2;PMR-3;PMR-4;PMR-5;PMR-6;PMR-7;PMR-8;;;;;;;;;;;;;;;;;;;;;;;
C4FM;BRD1 204;BRD2 Lokaal;none;20;8;PI1VBG-C4FM;PI1NOS-C4FM;PI1AMS-C4FM;PI1DFT-C4FM;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scan LPD;BRD1 204;BRD2 Lokaal;none;20;8;LPD 01;LPD 02;LPD 03;LPD 04;LPD 05;LPD 06;LPD 07;LPD 08;LPD 09;LPD 10;LPD 11;LPD 51;LPD 62;LPD 65;LPD 66;LPD 69;;;;;;;;;;;;;;;
Scan UK Simp;BRD1 204;BRD2 Lokaal;none;20;8;UKSimp1;UKSimp2;UKSimp3Oproep;UKSimp4;UKSimp5;UKSimp6;;;;;;;;;;;;;;;;;;;;;;;;;
Brandw Porto;BRD1 204;BRD2 Lokaal;none;20;8;Brw port 01;Brw port 02;Brw port 03;Brw port 04;Brw port 05;Brw port 06;Brw port 07;Brw port 08;Brw port 09;Brw port 10;Brw port 11;Brw port 12;Brw port 13;Brw port 14;Brw port 15;Brw port 16;;;;;;;;;;;;;;;
Brw DMR;Brw DMR 10;Brw DMR 11;none;20;8;Brw DMR 01;Brw DMR 02;Brw DMR 03;Brw DMR 04;Brw DMR 05;Brw DMR 06;Brw DMR 07;Brw DMR 08;Brw DMR 09;Brw DMR 10;Brw DMR 11;Brw DMR 12;Brw DMR 13;Brw DMR 14;Brw DMR 15;Brw DMR 16;;;;;;;;;;;;;;;
