CallId;CallReceiveTone;CallType;Name
2048012;off;private;PD0SEH Gooi
2042010;off;private;PD0TVA Theo
2042322;off;private;PD0TZM Ton
2048122;off;private;PD0V Michiel
2045137;off;private;PD0VDE Stefan
2047091;off;private;PD0VDL Tinus
2041087;off;private;PD0VOS Hans
2047071;off;private;PD0WFS Wilco
2043139;off;private;PD0WP Willem
2043052;off;private;PD0WVD Willem
2041192;off;private;PD0YSK Arnold
2042313;off;private;PD0ZA Michel
2043044;off;private;PD0ZRY Rudy
2043088;off;private;PD0ZRY. Rudy
2045146;off;private;PD1A Hans
2044079;off;private;PD1ABK Bram
2047010;off;private;PD1ABY Dick
2044130;off;private;PD1AEF Joep
2042148;off;private;PD1AEM Cris
2047011;off;private;PD1AIY Yvon
2047025;off;private;PD1AJM Albert
2046177;off;private;PD1AJO Wim
2042286;off;private;PD1AKU Edward
2047052;off;private;PD1ALA Peter
2047147;off;private;PD1ALS Cornelis
2048002;off;private;PD1ALW Andre
2048082;off;private;PD1ANS Ale
2041123;off;private;PD1APF Paul
2048187;off;private;PD1APN Andre
2045079;off;private;PD1ARJ Ad
2047151;off;private;PD1ART Martijn
2048055;off;private;PD1B Bert
2048123;off;private;PD1BD Bart
2046112;off;private;PD1BER Berry
2041213;off;private;PD1BRT Bert
2042332;off;private;PD1CC Cees
2041203;off;private;PD1CJM Christian
2045162;off;private;PD1CVL Kees
2042162;off;private;PD1DER Wander
2042178;off;private;PD1DMR Rex
2042195;off;private;PD1DMR. Rex
2045083;off;private;PD1EDS Peter
2042290;off;private;PD1ELZ Eric
2046060;off;private;PD1ES Erik
2042258;off;private;PD1EVP Ger
2044007;off;private;PD1FKM Freek
2041113;off;private;PD1FW Frans
2047167;off;private;PD1GE Gerben
2043145;off;private;PD1GIL Gill
2042262;off;private;PD1GML George
2047017;off;private;PD1H Maarten
2043151;off;private;PD1HF Marcel
2048125;off;private;PD1HHM HARCO
2041086;off;private;PD1HPB Peter
2046180;off;private;PD1HR Hans
2047069;off;private;PD1HS Henry
2048118;off;private;PD1JAS Jan
2046160;off;private;PD1JB Hans
2041099;off;private;PD1JFB Friso
2048157;off;private;PD1JHN Jhonny
2048076;off;private;PD1JKS Jan
2043051;off;private;PD1JMB Johan
2043023;off;private;PD1JRN Jeroen
2041179;off;private;PD1JSV Jeroen
2046092;off;private;PD1KD Kees
2042132;off;private;PD1LAN Jeroen
2047075;off;private;PD1LOI Loui
2041122;off;private;PD1LVK Louis
2041033;off;private;PD1M Martijn
2041043;off;private;PD1M. Martijn
2046116;off;private;PD1MLB Johan
2041161;off;private;PD1MP Macel
2044060;off;private;PD1MRZ Ben
2042304;off;private;PD1MVB Maarten
2042277;off;private;PD1ODE Jeroen
2042259;off;private;PD1PDR Peter
2042006;off;private;PD1PHI Philip
2047134;off;private;PD1PJ Peter
2046009;off;private;PD1RA Ronald
2044096;off;private;PD1RC Rene
2043141;off;private;PD1REM Remco
2041146;off;private;PD1RHV Rob
2046117;off;private;PD1RJ Rene
2042312;off;private;PD1RKE Roy
2044089;off;private;PD1RO Rolf
2047172;off;private;PD1ROT Rolf
2048048;off;private;PD1RS Rene
2047048;off;private;PD1S Erik
2047077;off;private;PD1S. Erik
2046189;off;private;PD1SLV Sander
2048161;off;private;PD1SOL Willem
2048121;off;private;PD1TM Theo
2041088;off;private;PD1WA Wout
2042108;off;private;PD1WAT Ton
2047083;off;private;PD1WBS Marco
2042298;off;private;PD1WGL Johannes
2046132;off;private;PD1WP Wilfred
2047099;off;private;PD2AD Andries
2046179;off;private;PD2AL Eelco
2048181;off;private;PD2AVD Albert
2048025;off;private;PD2AWD Auke
2041202;off;private;PD2BKB Edwin
2044077;off;private;PD2BVG Berry
2046175;off;private;PD2BVT Berry
2042165;off;private;PD2CDF Wim
2046188;off;private;PD2CL Chris
2042157;off;private;PD2CO Ron
2045126;off;private;PD2CWM Catharina
2048188;off;private;PD2DJK Andre
2043138;off;private;PD2DL Dirk
2047064;off;private;PD2DM Dick
2042013;off;private;PD2EAW Marco
2045025;off;private;PD2EBH Edwin
2045028;off;private;PD2EBH. Edwin
2046034;off;private;PD2EDY Edwin
2041152;off;private;PD2EMC Andy
2048043;off;private;PD2EVT Evert
2046011;off;private;PD2EZ Evert
2044041;off;private;PD2FRE Sander
2042092;off;private;PD2FVL Ferry
2041090;off;private;PD2G Gaston
2048052;off;private;PD2GKD Gert
2043056;off;private;PD2GTB Benny
2047125;off;private;PD2GVE Gerrit
2042211;off;private;PD2HI Henk
2043028;off;private;PD2HPE Piet
2048022;off;private;PD2HVS Harm
2048037;off;private;PD2JET Jack
2047156;off;private;PD2JH Joost
2042189;off;private;PD2JHP Jan
2046056;off;private;PD2JMS Johan
2048099;off;private;PD2JP JP
2046161;off;private;PD2K Peter
2042088;off;private;PD2KMW Kees
2046054;off;private;PD2M Mario
2046075;off;private;PD2M. Mario
2042325;off;private;PD2MAC T
2042026;off;private;PD2MAR Martin
2046008;off;private;PD2MB Martin
2046174;off;private;PD2MHT Rene
2042275;off;private;PD2MKE Marcel
2041001;off;private;PD2ML Mark
2041002;off;private;PD2ML. Mark
2045161;off;private;PD2MSN Michel
2042299;off;private;PD2MST Martijn
2043090;off;private;PD2MT Martijn
2041029;off;private;PD2NLX Martijn
2044057;off;private;PD2OK Ronald
2042114;off;private;PD2OT Ombry
2042125;off;private;PD2PDZ Peter
2041140;off;private;PD2PK Peter
2041218;off;private;PD2PRT John
2043032;off;private;PD2PW Peter
2048064;off;private;PD2RCW Robert
2042260;off;private;PD2RD Ruud
2047149;off;private;PD2RF Rinse Jan
2043150;off;private;PD2RJ Rene
2048174;off;private;PD2RLD Roland
2048091;off;private;PD2RVH Robert
2043043;off;private;PD2RVZ Ronald
2047148;off;private;PD2SDV Stefan
2048129;off;private;PD2SLE Peter
2042019;off;private;PD2TAZ Rini
2046191;off;private;PD2TCW Tom
